Name,Similarity_0054-0090,Similarity_0133-0086
0054-0090,1.00000,0.39080
0061-0013,0.06061,0.12500
0062-0039,0.00000,0.00000
0082-0017,0.08333,0.18431
0083-0114,0.14815,0.18939
0086-0080,0.10598,0.22055
0092-0008,0.33854,0.63571
0096-0280,0.23232,0.31111
0098-0003,0.15625,0.08333
0099-0265,0.20513,0.26126
0107-0034,0.05882,0.05556
0109-0002,0.09314,0.22626
0109-0045,0.12745,0.26263
0109-0175,0.10976,0.17236
0133-0036,0.14286,0.17647
0133-0054,0.40476,0.95455
0133-0074,0.11111,0.11111
0133-0083,0.05983,0.18421
0133-0086,0.39080,1.00000
